=== Tabela de Símbolos ===
class: Tipo = PALAVRA_RESERVADA, Linha = 1
Customer: Tipo = IDENTIFICADOR_CLASSE, Linha = 1
equivalentto: Tipo = PALAVRA_RESERVADA, Linha = 3
Person: Tipo = IDENTIFICADOR_CLASSE, Linha = 4
and: Tipo = PALAVRA_RESERVADA, Linha = 5
(: Tipo = SIMBOLO_ESPECIAL, Linha = 5
purchasedPizza: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 5
some: Tipo = PALAVRA_RESERVADA, Linha = 5
Pizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 5
): Tipo = SIMBOLO_ESPECIAL, Linha = 5
numberOfPhone: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 6
xsd:: Tipo = NAMESPACE, Linha = 6
string: Tipo = TIPO_DADO, Linha = 6
individuals: Tipo = PALAVRA_RESERVADA, Linha = 8
Customer1: Tipo = IDENTIFICADOR_INDIVIDUO, Linha = 9
,: Tipo = SIMBOLO_ESPECIAL, Linha = 9
Customer10: Tipo = IDENTIFICADOR_INDIVIDUO, Linha = 10
Customer2: Tipo = IDENTIFICADOR_INDIVIDUO, Linha = 11
Customer3: Tipo = IDENTIFICADOR_INDIVIDUO, Linha = 12
Customer4: Tipo = IDENTIFICADOR_INDIVIDUO, Linha = 13
Customer5: Tipo = IDENTIFICADOR_INDIVIDUO, Linha = 14
Customer6: Tipo = IDENTIFICADOR_INDIVIDUO, Linha = 15
Customer7: Tipo = IDENTIFICADOR_INDIVIDUO, Linha = 16
Customer8: Tipo = IDENTIFICADOR_INDIVIDUO, Linha = 17
Customer9: Tipo = IDENTIFICADOR_INDIVIDUO, Linha = 18
Employee: Tipo = IDENTIFICADOR_CLASSE, Linha = 20
subclassof: Tipo = PALAVRA_RESERVADA, Linha = 22
ssn: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 24
min: Tipo = PALAVRA_RESERVADA, Linha = 24
1: Tipo = CARDINALIDADE, Linha = 24
Chef1: Tipo = IDENTIFICADOR_INDIVIDUO, Linha = 26
Manager1: Tipo = IDENTIFICADOR_INDIVIDUO, Linha = 27
Waiter1: Tipo = IDENTIFICADOR_INDIVIDUO, Linha = 28
Waiter2: Tipo = IDENTIFICADOR_INDIVIDUO, Linha = 29
hasBase: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 34
PizzaBase: Tipo = IDENTIFICADOR_CLASSE, Linha = 34
hasCaloricContent: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 35
integer: Tipo = TIPO_DADO, Linha = 35
disjointclasses: Tipo = PALAVRA_RESERVADA, Linha = 36
PizzaTopping: Tipo = IDENTIFICADOR_CLASSE, Linha = 37
CustomPizza1: Tipo = IDENTIFICADOR_CLASSE, Linha = 39
CustomPizza2: Tipo = IDENTIFICADOR_CLASSE, Linha = 40
CheesyPizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 42
hasTopping: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 45
CheeseTopping: Tipo = IDENTIFICADOR_CLASSE, Linha = 45
CheesyPizza1: Tipo = IDENTIFICADOR_CLASSE, Linha = 47
HighCaloriePizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 49
[: Tipo = SIMBOLO_ESPECIAL, Linha = 52
>=: Tipo = SIMBOLO_ESPECIAL, Linha = 52
': Tipo = SIMBOLO_ESPECIAL, Linha = 52
400: Tipo = CARDINALIDADE, Linha = 52
]: Tipo = SIMBOLO_ESPECIAL, Linha = 52
InterestingPizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 54
3: Tipo = CARDINALIDADE, Linha = 57
LowCaloriePizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 59
<: Tipo = SIMBOLO_ESPECIAL, Linha = 62
Name: Tipo = TIPO_DADO, Linha = 64
dPizza: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 64
AmericanaHotPizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 68
JalapenoPepperTopping: Tipo = IDENTIFICADOR_CLASSE, Linha = 71
MozzarellaTopping: Tipo = IDENTIFICADOR_CLASSE, Linha = 72
PepperoniTopping: Tipo = IDENTIFICADOR_CLASSE, Linha = 73
TomatoTopping: Tipo = IDENTIFICADOR_CLASSE, Linha = 74
AmericanaPizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 76
MargheritaPizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 76
SohoPizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 76
AmericanaHotPizza1: Tipo = IDENTIFICADOR_CLASSE, Linha = 78
AmericanaHotPizza2: Tipo = IDENTIFICADOR_CLASSE, Linha = 79
AmericanaHotPizza3: Tipo = IDENTIFICADOR_CLASSE, Linha = 80
ChicagoAmericanaHotPizza1: Tipo = IDENTIFICADOR_CLASSE, Linha = 81
AmericanaPizza1: Tipo = IDENTIFICADOR_CLASSE, Linha = 92
AmericanaPizza2: Tipo = IDENTIFICADOR_CLASSE, Linha = 93
only: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 100
or: Tipo = PALAVRA_RESERVADA, Linha = 101
MargheritaPizza1: Tipo = IDENTIFICADOR_CLASSE, Linha = 105
MargheritaPizza2: Tipo = IDENTIFICADOR_CLASSE, Linha = 106
OliveTopping: Tipo = IDENTIFICADOR_CLASSE, Linha = 112
ParmesanTopping: Tipo = IDENTIFICADOR_CLASSE, Linha = 113
SohoPizza1: Tipo = IDENTIFICADOR_CLASSE, Linha = 120
SohoPizza2: Tipo = IDENTIFICADOR_CLASSE, Linha = 121
SpicyPizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 123
hasSpiciness: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 127
value: Tipo = PALAVRA_RESERVADA, Linha = 127
Hot: Tipo = IDENTIFICADOR_CLASSE, Linha = 127
VegetarianPizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 129
VegetableTopping: Tipo = IDENTIFICADOR_CLASSE, Linha = 134
Spiciness: Tipo = IDENTIFICADOR_CLASSE, Linha = 146
{: Tipo = SIMBOLO_ESPECIAL, Linha = 149
Medium: Tipo = IDENTIFICADOR_CLASSE, Linha = 149
Mild: Tipo = IDENTIFICADOR_CLASSE, Linha = 149
}: Tipo = SIMBOLO_ESPECIAL, Linha = 149
