=== Tabela de Símbolos ===
Class: Tipo = PALAVRA_RESERVADA, Linha = 1
Customer: Tipo = IDENTIFICADOR_CLASSE, Linha = 1
EquivalentTo: Tipo = PALAVRA_RESERVADA, Linha = 2
Person: Tipo = IDENTIFICADOR_CLASSE, Linha = 3
and: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 4
(: Tipo = SIMBOLO_ESPECIAL, Linha = 4
purchasedPizza: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 4
some: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 4
Pizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 4
): Tipo = SIMBOLO_ESPECIAL, Linha = 4
numberOfPhone: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 5
xsd:: Tipo = NAMESPACE, Linha = 5
string: Tipo = TIPO_DADO, Linha = 5
Individuals: Tipo = PALAVRA_RESERVADA, Linha = 6
Customer1: Tipo = IDENTIFICADOR_CLASSE, Linha = 7
,: Tipo = SIMBOLO_ESPECIAL, Linha = 7
Customer10: Tipo = IDENTIFICADOR_CLASSE, Linha = 8
Customer2: Tipo = IDENTIFICADOR_CLASSE, Linha = 9
Customer3: Tipo = IDENTIFICADOR_CLASSE, Linha = 10
Customer4: Tipo = IDENTIFICADOR_CLASSE, Linha = 11
Customer5: Tipo = IDENTIFICADOR_CLASSE, Linha = 12
Customer6: Tipo = IDENTIFICADOR_CLASSE, Linha = 13
Customer7: Tipo = IDENTIFICADOR_CLASSE, Linha = 14
Customer8: Tipo = IDENTIFICADOR_CLASSE, Linha = 15
Customer9: Tipo = IDENTIFICADOR_CLASSE, Linha = 16
Employee: Tipo = IDENTIFICADOR_CLASSE, Linha = 17
SubClassOf: Tipo = PALAVRA_RESERVADA, Linha = 18
ssn: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 20
min: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 20
1: Tipo = CARDINALIDADE, Linha = 20
Chef1: Tipo = IDENTIFICADOR_CLASSE, Linha = 22
Manager1: Tipo = IDENTIFICADOR_CLASSE, Linha = 23
Waiter1: Tipo = IDENTIFICADOR_CLASSE, Linha = 24
Waiter2: Tipo = IDENTIFICADOR_CLASSE, Linha = 25
hasBase: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 28
PizzaBase: Tipo = IDENTIFICADOR_CLASSE, Linha = 28
hasCaloricContent: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 29
integer: Tipo = TIPO_DADO, Linha = 29
DisjointClasses: Tipo = PALAVRA_RESERVADA, Linha = 30
PizzaTopping: Tipo = IDENTIFICADOR_CLASSE, Linha = 31
CustomPizza1: Tipo = IDENTIFICADOR_CLASSE, Linha = 33
CustomPizza2: Tipo = IDENTIFICADOR_CLASSE, Linha = 34
CheesyPizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 35
hasTopping: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 38
CheeseTopping: Tipo = IDENTIFICADOR_CLASSE, Linha = 38
CheesyPizza1: Tipo = IDENTIFICADOR_CLASSE, Linha = 40
HighCaloriePizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 41
[: Tipo = SIMBOLO_ESPECIAL, Linha = 44
>=: Tipo = SIMBOLO_ESPECIAL, Linha = 44
': Tipo = SIMBOLO_ESPECIAL, Linha = 44
400: Tipo = CARDINALIDADE, Linha = 44
]: Tipo = SIMBOLO_ESPECIAL, Linha = 44
InterestingPizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 45
3: Tipo = CARDINALIDADE, Linha = 48
LowCaloriePizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 49
<: Tipo = SIMBOLO_ESPECIAL, Linha = 52
Name: Tipo = TIPO_DADO, Linha = 53
dPizza: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 53
AmericanaHotPizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 56
JalapenoPepperTopping: Tipo = IDENTIFICADOR_CLASSE, Linha = 59
MozzarellaTopping: Tipo = IDENTIFICADOR_CLASSE, Linha = 60
PepperoniTopping: Tipo = IDENTIFICADOR_CLASSE, Linha = 61
TomatoTopping: Tipo = IDENTIFICADOR_CLASSE, Linha = 62
AmericanaPizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 64
MargheritaPizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 64
SohoPizza: Tipo = IDENTIFICADOR_CLASSE, Linha = 64
AmericanaHotPizza1: Tipo = IDENTIFICADOR_CLASSE, Linha = 66
AmericanaHotPizza2: Tipo = IDENTIFICADOR_CLASSE, Linha = 67
AmericanaHotPizza3: Tipo = IDENTIFICADOR_CLASSE, Linha = 68
ChicagoAmericanaHotPizza1: Tipo = IDENTIFICADOR_CLASSE, Linha = 69
AmericanaPizza1: Tipo = IDENTIFICADOR_CLASSE, Linha = 79
AmericanaPizza2: Tipo = IDENTIFICADOR_CLASSE, Linha = 80
only: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 86
or: Tipo = IDENTIFICADOR_PROPRIEDADE, Linha = 87
MargheritaPizza1: Tipo = IDENTIFICADOR_CLASSE, Linha = 91
MargheritaPizza2: Tipo = IDENTIFICADOR_CLASSE, Linha = 92
OliveTopping: Tipo = IDENTIFICADOR_CLASSE, Linha = 97
